id,visitors
air_00a91d42b08b08d9_2017-04-23,4.485597683834744
air_00a91d42b08b08d9_2017-04-24,17.68315585480463
air_00a91d42b08b08d9_2017-04-25,21.081568563468647
air_00a91d42b08b08d9_2017-04-26,27.031770220699908
air_00a91d42b08b08d9_2017-04-27,27.74363360189672
air_00a91d42b08b08d9_2017-04-28,35.79144609011331
air_00a91d42b08b08d9_2017-04-29,12.41844690970204
air_00a91d42b08b08d9_2017-04-30,4.512722059755462
air_00a91d42b08b08d9_2017-05-01,17.551441018653033
air_00a91d42b08b08d9_2017-05-02,20.319307731797114
air_00a91d42b08b08d9_2017-05-03,26.522523978169605
air_00a91d42b08b08d9_2017-05-04,26.843271954089175
air_00a91d42b08b08d9_2017-05-05,32.12387682201595
air_00a91d42b08b08d9_2017-05-06,11.929931353835036
air_00a91d42b08b08d9_2017-05-07,4.443139238892953
air_00a91d42b08b08d9_2017-05-08,17.614174418251213
air_00a91d42b08b08d9_2017-05-09,20.576046536258904
air_00a91d42b08b08d9_2017-05-10,26.77998785457287
air_00a91d42b08b08d9_2017-05-11,27.52385285849213
air_00a91d42b08b08d9_2017-05-12,33.612957972828916
air_00a91d42b08b08d9_2017-05-13,11.744139595635398
air_00a91d42b08b08d9_2017-05-14,4.530050321069158
air_00a91d42b08b08d9_2017-05-15,17.887503876371643
air_00a91d42b08b08d9_2017-05-16,20.626690785884822
air_00a91d42b08b08d9_2017-05-17,26.867114885104563
air_00a91d42b08b08d9_2017-05-18,27.794669898947713
air_00a91d42b08b08d9_2017-05-19,35.74788515346992
air_00a91d42b08b08d9_2017-05-20,11.788787723394137
air_00a91d42b08b08d9_2017-05-21,4.5358922215074315
air_00a91d42b08b08d9_2017-05-22,17.97794809444571
air_00a91d42b08b08d9_2017-05-23,20.929642809954014
air_00a91d42b08b08d9_2017-05-24,26.811142768343565
air_00a91d42b08b08d9_2017-05-25,27.80424396953642
air_00a91d42b08b08d9_2017-05-26,35.65337929951935
air_00a91d42b08b08d9_2017-05-27,11.934285649376251
air_00a91d42b08b08d9_2017-05-28,4.508681590143405
air_00a91d42b08b08d9_2017-05-29,18.487546643319074
air_00a91d42b08b08d9_2017-05-30,21.091394964127947
air_00a91d42b08b08d9_2017-05-31,26.77605380191034
air_0164b9927d20bcc3_2017-04-23,8.820045803287986
air_0164b9927d20bcc3_2017-04-24,5.946489728412103
air_0164b9927d20bcc3_2017-04-25,7.936161608471961
air_0164b9927d20bcc3_2017-04-26,8.286615205646957
air_0164b9927d20bcc3_2017-04-27,8.766736341402023
air_0164b9927d20bcc3_2017-04-28,9.66112311212491
air_0164b9927d20bcc3_2017-04-29,5.119187962574139
air_0164b9927d20bcc3_2017-04-30,9.388741145133286
air_0164b9927d20bcc3_2017-05-01,6.386237043900083
air_0164b9927d20bcc3_2017-05-02,8.002036699379069
air_0164b9927d20bcc3_2017-05-03,8.075305676906273
air_0164b9927d20bcc3_2017-05-04,8.228333319863216
air_0164b9927d20bcc3_2017-05-05,9.529224385374718
air_0164b9927d20bcc3_2017-05-06,4.720746735112711
air_0164b9927d20bcc3_2017-05-07,7.9028025513905416
air_0164b9927d20bcc3_2017-05-08,5.9320221751326
air_0164b9927d20bcc3_2017-05-09,8.100030591832567
air_0164b9927d20bcc3_2017-05-10,7.634802665389081
air_0164b9927d20bcc3_2017-05-11,7.9757344658683635
air_0164b9927d20bcc3_2017-05-12,9.222987416952133
air_0164b9927d20bcc3_2017-05-13,10.225972994196656
air_0164b9927d20bcc3_2017-05-14,9.06864497557209
air_0164b9927d20bcc3_2017-05-15,5.9173314571353615
air_0164b9927d20bcc3_2017-05-16,6.992779389476272
air_0164b9927d20bcc3_2017-05-17,7.600219683941431
air_0164b9927d20bcc3_2017-05-18,7.885658103679235
air_0164b9927d20bcc3_2017-05-19,9.28678913065338
air_0164b9927d20bcc3_2017-05-20,4.943691666136643
air_0164b9927d20bcc3_2017-05-21,8.745031788917188
air_0164b9927d20bcc3_2017-05-22,5.958769025772857
air_0164b9927d20bcc3_2017-05-23,7.0937215787511665
air_0164b9927d20bcc3_2017-05-24,7.732400504550144
air_0164b9927d20bcc3_2017-05-25,8.05307890356387
air_0164b9927d20bcc3_2017-05-26,9.648573509790504
air_0164b9927d20bcc3_2017-05-27,4.96618248385363
air_0164b9927d20bcc3_2017-05-28,9.225188956769648
air_0164b9927d20bcc3_2017-05-29,5.9741838944286165
air_0164b9927d20bcc3_2017-05-30,7.061571583918342
air_0164b9927d20bcc3_2017-05-31,7.736561325706239
air_0241aa3964b7f861_2017-04-23,8.412578455823905
air_0241aa3964b7f861_2017-04-24,7.7007790303738215
air_0241aa3964b7f861_2017-04-25,7.20657028414745
air_0241aa3964b7f861_2017-04-26,8.528119581548038
air_0241aa3964b7f861_2017-04-27,4.733887811146223
air_0241aa3964b7f861_2017-04-28,7.555545950053766
air_0241aa3964b7f861_2017-04-29,12.51550162735887
air_0241aa3964b7f861_2017-04-30,8.405490498448765
air_0241aa3964b7f861_2017-05-01,7.711554990416904
air_0241aa3964b7f861_2017-05-02,6.843932088712764
air_0241aa3964b7f861_2017-05-03,9.494662766307473
air_0241aa3964b7f861_2017-05-04,5.4080431487964695
air_0241aa3964b7f861_2017-05-05,7.813244167074304
air_0241aa3964b7f861_2017-05-06,12.01113526791918
air_0241aa3964b7f861_2017-05-07,8.347054623409003
air_0241aa3964b7f861_2017-05-08,7.667262218569718
air_0241aa3964b7f861_2017-05-09,7.0906554711635135
air_0241aa3964b7f861_2017-05-10,8.459380376998665
air_0241aa3964b7f861_2017-05-11,4.84288701201701
air_0241aa3964b7f861_2017-05-12,7.430447557508572
air_0241aa3964b7f861_2017-05-13,12.292328521590965
air_0241aa3964b7f861_2017-05-14,8.388304034586714
air_0241aa3964b7f861_2017-05-15,7.649760584062699
air_0241aa3964b7f861_2017-05-16,7.156758087261183
air_0241aa3964b7f861_2017-05-17,8.49856662756822
air_0241aa3964b7f861_2017-05-18,4.87458708030325
air_0241aa3964b7f861_2017-05-19,7.435201633383283
air_0241aa3964b7f861_2017-05-20,12.32159538406194
air_0241aa3964b7f861_2017-05-21,8.412578455823905
air_0241aa3964b7f861_2017-05-22,7.695762282826934
air_0241aa3964b7f861_2017-05-23,7.177952092717645
air_0241aa3964b7f861_2017-05-24,8.50069981006622
air_0241aa3964b7f861_2017-05-25,4.734985796410845
air_0241aa3964b7f861_2017-05-26,7.508438997129506
air_0241aa3964b7f861_2017-05-27,12.43275554018508
air_0241aa3964b7f861_2017-05-28,8.426988664719389
air_0241aa3964b7f861_2017-05-29,7.6680576277675065
air_0241aa3964b7f861_2017-05-30,7.1320865741742026
air_0241aa3964b7f861_2017-05-31,8.500089592417876
air_0328696196e46f18_2017-04-23,7.665591867432001
air_0328696196e46f18_2017-04-24,5.6585410992964
air_0328696196e46f18_2017-04-25,6.024934090050353
air_0328696196e46f18_2017-04-26,5.893422141379093
air_0328696196e46f18_2017-04-27,7.2675497403924005
air_0328696196e46f18_2017-04-28,5.925013212894303
air_0328696196e46f18_2017-04-29,7.069223190599182
air_0328696196e46f18_2017-04-30,8.026873469313875
air_0328696196e46f18_2017-05-01,5.804853328990967
air_0328696196e46f18_2017-05-02,5.818941726164181
air_0328696196e46f18_2017-05-03,6.720766739838408
air_0328696196e46f18_2017-05-04,8.468738255968683
air_0328696196e46f18_2017-05-05,5.945306551715979
